,Word,Frequency
70,access,194
48,use,116
139,custom,104
145,system,98
47,provid*,94
3,call,92
293,websit*,87
12,receiv*,87
39,consent,87
68,patient,85
37,request,84
111,record,83
109,name,80
345,contain,80
75,investig*,79
45,employe*,79
272,fail,77
59,person,77
218,address,77
79,ensur*,77
90,adequ*,74
493,violat*,73
141,document,71
34,contract,70
194,health,68
175,result,67
102,report,61
32,time,60
274,accord,60
2,bank,59
189,user,59
398,oper,59
54,legal,58
168,account,58
107,principl,55
304,garant,54
121,individu,54
81,includ,54
480,inform,54
22,complaint,53
43,servic,53
241,telephon,52
235,third,51
523,collect,51
446,unauthor,50
156,regard,50
404,suffici,49
742,region,49
305,requir,49
55,basi,49
94,relat,49
306,implement,48
17,take,48
95,purpos,47
14,file,47
80,appropri,46
136,payment,45
167,taken,44
254,public,44
681,protect,44
307,oblig,44
53,state,43
513,furthermor,42
483,vodafon,41
372,sever,41
83,unlaw,41
108,delet,40
93,necessari,40
214,store,40
232,email,40
445,risk,40
659,camera,40
62,card,39
267,made,39
179,cnil,39
76,case,39
160,conclud,38
311,activ,37
354,incid,37
228,attack,37
660,surveil,36
73,hospit,36
112,two,36
908,contact,36
49,regist,36
137,amount,35
260,order,35
245,send,35
20,period,34
289,peopl,34
287,publish,34
363,possibl,34
10,right,34
219,fact,34
854,advertis,34
541,reduc,34
259,detail,33
669,work,33
15,anoth,33
655,list,33
89,confidenti,32
52,applic,32
288,even,32
339,via,32
237,sent,31
123,number,31
408,error,31
571,origin,31
785,instal,31
308,privaci,31
472,manag,31
88,organis,31
633,whether,30
205,onlin,30
171,well,30
208,although,30
500,app,30
71,medic,30
183,lack,29
332,affect,29
172,concern,29
415,million,29
58,ident,29
29,sinc,28
879,three,28
656,process,28
164,consid,28
457,among,28
122,phone,28
978,swedish,28
282,databas,27
186,storag,27
1364,occur,27
328,avail,27
1141,privat,27
291,abl,27
27,credit,27
605,compani,27
257,employ,27
200,allow,26
63,one,26
98,form,26
317,initi,26
543,integr,26
672,parti,26
855,video,26
927,thu,25
275,articl,25
460,larg,25
329,internet,24
238,sm,24
359,school,24
396,cours,24
552,part,24
956,given,24
243,compli,24
234,disclosur,24
207,place,24
841,polici,24
125,note,24
126,law,24
333,notif,23
375,obtain,23
360,insuffici,23
113,year,23
143,new,22
31,commun,22
400,therefor,22
852,thing,22
542,failur,22
814,reason,22
790,invoic,22
884,anspdcp,22
763,server,22
215,took,22
60,identif,22
50,complain,21
540,respons,21
1085,question,21
533,follow,21
170,breach,21
582,area,20
385,conduct,20
335,would,20
198,issu,20
976,minim,20
495,nation,20
771,code,20
239,messag,20
701,assess,20
366,variou,20
149,procedur,20
1417,park,20
688,locat,20
641,monitor,20
187,first,19
251,citi,19
853,object,19
596,secur,19
629,copi,19
66,student,19
422,prevent,19
420,particular,19
273,notifi,19
77,administr,19
118,continu,19
522,assign,18
220,reveal,18
499,offer,18
678,develop,18
1909,medhelp,18
991,norwegian,18
318,may,18
281,disclos,18
100,longer,18
614,date,18
300,platform,18
643,though,18
699,carri,18
193,id,18
621,check,18
92,limit,17
1043,properli,17
536,test,17
828,recipi,17
843,ab,17
1157,imag,17
370,child,17
607,level,17
231,password,17
133,datatilsynet,17
383,verifi,17
146,set,17
504,mobil,17
705,agenc,17
939,find,17
163,group,17
827,market,17
373,intern,16
321,associ,16
330,inadequ,16
416,involv,16
4,client,16
324,supervisori,16
188,sensit,16
872,transmit,16
263,naih,16
597,decis,16
316,proceed,16
341,googl,16
606,author,16
131,court,16
792,romanian,16
524,subsequ,16
1418,ticket,16
1000,respond,16
299,processor,16
787,termin,15
180,base,15
937,encrypt,15
99,permit,15
734,social,15
127,fine,15
531,confirm,15
250,offic,15
78,manner,15
242,incorrect,15
735,insur,15
618,dutch,15
1267,exampl,15
751,erasur,15
1028,five,14
547,ico,14
680,parent,14
565,book,14
998,cctv,14
409,determin,14
985,web,14
1314,network,14
1074,build,14
427,polish,14
240,debt,14
783,móvile,14
630,driver,14
403,uodo,14
986,owner,14
668,enter,14
539,admiss,14
196,notic,14
2081,club,14
206,authent,14
1001,space,14
1092,voluntari,13
346,correspond,13
25,link,13
391,fulfil,13
894,constitut,13
1048,voic,13
303,led,13
327,publicli,13
1029,month,13
943,relationship,13
1181,transfer,13
466,staff,13
138,approxim,13
209,vulner,13
425,must,13
746,control,13
716,immedi,13
36,view,13
1394,robinson,13
453,remov,13
782,xfera,13
703,whatsapp,13
151,februari,13
150,updat,13
568,impact,13
805,birth,13
955,españa,13
886,despit,12
471,profil,12
1353,medium,12
173,gener,12
527,institut,12
101,danish,12
334,pursuant,12
428,alreadi,12
980,integritetsskyddsmyndigheten,12
225,financi,12
1494,prescript,12
825,contractu,12
858,french,12
789,connect,12
411,submit,12
386,busi,12
204,statement,12
929,ask,12
996,need,12
1911,medical,12
877,hour,12
82,unauthoris,12
1232,program,12
903,context,12
64,gain,12
953,univers,12
530,former,12
866,retent,12
988,stockholm,12
41,registr,11
1020,post,11
436,licens,11
1479,either,11
613,sanction,11
640,technolog,11
516,claimant,11
1018,real,11
899,total,11
1466,guilt,11
521,claim,11
1520,subcontractor,11
1641,advic,11
154,decid,11
1175,di,11
1095,regul,11
487,nevertheless,11
485,wrong,11
990,sek,11
84,accident,11
750,effect,11
749,exercis,11
401,present,11
1125,properti,11
910,special,11
1065,identifi,11
612,appli,11
426,specif,10
940,restrict,10
51,sign,10
907,promot,10
475,doctor,10
397,high,10
488,respect,10
1760,facil,10
463,good,10
721,letter,10
1906,inera,10
786,end,10
608,surnam,10
537,belong,10
1084,citizen,10
135,demand,10
261,local,10
876,within,10
176,final,10
178,natur,9
650,want,9
1203,center,9
1034,analysi,9
683,belgian,9
1211,full,9
1216,plate,9
600,prior,9
13,answer,9
233,illeg,9
132,june,9
942,neither,9
687,creat,9
982,way,9
432,refer,9
450,presid,9
765,stop,9
919,januari,9
957,provis,9
649,freeli,9
624,ap,9
632,vehicl,9
192,candid,9
217,care,9
757,portal,9
1402,turn,9
529,never,9
873,valid,9
871,sa,9
364,anyon,9
494,accuraci,9
30,differ,9
1047,line,9
1538,launch,9
1006,duti,9
355,comput,9
1056,particip,9
1066,actual,9
338,easili,9
342,search,9
832,histori,9
104,polic,9
1002,open,9
580,resid,9
326,becam,9
24,infring,9
1433,evalu,9
788,devic,9
556,site,9
465,caus,8
662,environ,8
684,euro,8
754,alleg,8
486,charg,8
793,act,8
609,mail,8
515,withdraw,8
610,job,8
896,block,8
709,cooki,8
733,train,8
772,prove,8
918,softwar,8
38,addit,8
1551,azienda,8
997,convers,8
935,correct,8
213,septemb,8
421,justifi,8
1218,car,8
993,f,8
1246,postal,8
61,indic,8
1004,certain,8
1296,minimum,8
382,commerci,8
434,grant,8
1078,municip,8
344,leak,8
352,day,8
1040,tool,8
1915,nordic,8
1046,four,8
1262,numer,8
2161,ferd,8
1220,transport,8
1787,track,8
169,previous,8
1395,tour,8
270,hungarian,8
46,telecommun,8
1345,hellen,8
575,novemb,7
712,page,7
140,establish,7
1908,värmland,7
1244,box,7
933,centr,7
1242,loyalti,7
28,agreement,7
727,tenant,7
1564,acknowledg,7
1420,remind,7
545,transact,7
740,separ,7
816,hotlin,7
323,lithuanian,7
322,inspect,7
819,awar,7
1237,download,7
850,subscrib,7
1135,forward,7
1899,sörmland,7
1126,equip,7
831,purchas,7
1384,exist,7
538,agre,7
97,kept,7
310,transpar,7
617,proper,7
1052,behalf,7
514,meet,7
920,hundr,7
2126,atac,7
904,unsolicit,7
429,announc,7
1355,visibl,7
981,review,7
651,examin,7
155,impos,7
1319,put,7
1297,gave,7
1510,rome,7
658,posit,7
469,profession,7
1706,share,7
444,potenti,7
464,cooper,7
458,other,7
1351,dpc,7
573,marriott,7
1011,perform,7
395,explain,7
1021,chang,7
505,detect,7
698,romania,7
147,old,7
1236,deliveri,6
195,tax,6
639,recognit,6
1284,cell,6
1273,captur,6
264,aggrav,6
157,calcul,6
777,lead,6
2049,mercadona,6
142,deadlin,6
18,action,6
1407,bbva,6
708,refus,6
1907,live,6
1905,went,6
1391,room,6
1729,clinic,6
745,digit,6
599,absenc,6
148,reach,6
744,design,6
1288,woman,6
1740,print,6
1352,twitter,6
729,still,6
1292,tri,6
693,declar,6
1378,intend,6
229,juli,6
692,telemarket,6
739,see,6
794,instruct,6
1350,irish,6
406,meantim,6
887,repeatedli,6
1106,newslett,6
1026,eood,6
381,econom,6
91,relev,6
1104,spain,6
379,central,6
87,damag,6
1101,distribut,6
1032,commiss,6
1485,introduc,6
1045,sale,6
509,pay,6
85,loss,6
510,fee,6
365,log,6
867,personnel,6
1019,estat,6
1121,unencrypt,6
803,extens,6
564,travel,6
442,make,6
473,appear,6
1161,cover,6
2143,fan,6
2002,syddanmark,6
1051,premis,5
677,lost,5
1848,surgeri,5
1269,physic,5
1521,credenti,5
2067,clock,5
1606,compos,5
948,colleagu,5
